i,j,w_k,v_k,wk_vk,d_k,d_k_renorm,ratio
18,32,0.22695937194189367,6.065854009991722,1.3767024163989383,1.3465686133989383,0.09706799909612936,0.978111607388021
47,39,0.14766886219125097,9.372956019529244,1.3840937507725202,1.3390209239135231,0.014022202447075848,0.9674351344814324
44,30,0.20242653807917063,6.715590225039589,1.3594136804130825,1.333459886996494,0.10320168316489423,0.9809080975198793
13,17,0.20163299785532118,6.841769581534048,1.3795265113600563,1.332875881091415,0.009930182256528646,0.9661835927874636
22,46,0.2042266729586805,6.5928257721528105,1.3464308728430123,1.3266287235171406,0.06329128887686189,0.9852928585304501
53,48,0.1769409236009204,7.8197628053060075,1.3836360531109693,1.3252916160243289,0.004182680067199027,0.9578325261506024
42,5,0.25715292942208534,5.26216513371032,1.3531811792363682,1.3233793845606527,0.08707925046639262,0.9779764933676263
53,36,0.19198270805449827,7.032155381567644,1.3500522336133698,1.3193080146680396,0.19440479089313578,0.9772273855930416
25,28,0.18022936888662508,7.4498787832726,1.342686951391079,1.316818676932262,0.13975565713854182,0.9807339496134848
26,36,0.2619643820952797,5.104061462566347,1.3370823072175226,1.3154260179135817,0.10291055085421112,0.9838033237093625
34,52,0.17186712702027798,7.841783977350517,1.347744882900882,1.3143369645132195,0.028674666011048476,0.9752119864734671
29,43,0.14582578279971767,9.071258264867678,1.3228233374527378,1.292307728743189,0.15551925636581457,0.9769314557389723
16,15,0.221996580960972,6.064507194187995,1.3462998623229525,1.2806542590669308,0.10195282514128928,0.9512399836818266
43,34,0.2752165882871453,4.655469599471433,1.2812624600410505,1.2687388432252464,0.19043040015749008,0.9902255648578022
42,13,0.2195888971016256,5.855733858768907,1.2858541397677106,1.258333116785225,0.09523790248043795,0.9785970880122863
12,39,0.25150661112254546,5.034116238978079,1.2661135152623508,1.2557937276994775,0.10379497865119482,0.9918492398679316
35,45,0.17774311055015557,7.214932774078873,1.2824045936750417,1.254960452587863,0.06651071083135875,0.9785994675763514
6,28,0.17752618585217667,7.205235318548364,1.2791179442692842,1.2524866531582968,0.1395738562936144,0.9791799566018903
45,10,0.20802950782159405,6.073948421838545,1.2635605007288204,1.2506837500434285,0.15663883182846378,0.9898091538331844
56,50,0.11992233349241939,10.646185570356554,1.2767154163904817,1.2492369779025947,0.11692954662698114,0.9784772407890446
30,25,0.14917430767635598,8.47131616168087,1.263702723526269,1.240537882982834,0.0803471925770366,0.9816690744490957
44,40,0.20618032848882611,6.134510619766631,1.2648154147016761,1.2242467483535484,0.04528603242881153,0.9679252277632177
2,31,0.2530316012598512,4.908138825459352,1.241914226211625,1.2186134915299762,0.08694960128291797,0.9812380483371013
45,30,0.22047510866965983,5.576050640082629,1.229380370819744,1.2111760107802323,0.02730020430054832,0.9851922476789075
27,37,0.15007395153653152,8.27316403862459,1.241586418986322,1.2061017802768044,0.03665026368738673,0.971419920380179
52,31,0.16697566799691832,7.428964682467987,1.2404563403806064,1.2042914153095645,0.11230314024074535,0.97084546719319
22,36,0.21479104778038266,5.672434982916137,1.2183882534466541,1.1999492761002861,0.18555232559421755,0.9848660906782327
15,16,0.19018597976774537,6.6048983933416,1.2561590722040794,1.1931019613828353,0.013067149328208136,0.949801651545132
45,28,0.23959728511989783,5.040153147034888,1.2076070106180685,1.1929953348001403,0.1387753137614811,0.9879003055717193
16,38,0.20622843531627907,5.840172627764212,1.2044096630007755,1.1842125391215874,0.038179592310534874,0.9832306859537584
27,11,0.13382671645940733,9.022838991534554,1.2074969153789796,1.1834414775947681,0.1483935159210437,0.9800782615029194
17,28,0.22841539150001464,5.220757212058083,1.1925013025187718,1.1736013740719349,0.03594782490734449,0.984151020710068
7,57,0.1797710798010308,6.5889742616943066,1.184507017805985,1.1656849543049363,0.2142045330096357,0.9841097914844674
32,6,0.14745991505025977,8.039855777878328,1.1855564500222784,1.1638375890503971,0.042108070998764034,0.9816804497403113
54,22,0.23930189612844566,4.892732818271739,1.1708402406623009,1.1594705539011299,0.003698614633048223,0.9902892927947714
2,33,0.20896524916303527,5.614624104866,1.1732613250301076,1.1556984280785263,0.11825867460337354,0.985030703239851
44,47,0.19048650912242351,6.184093448950367,1.1779863731774036,1.1488854462483145,0.029721480571922258,0.9752960411158282
17,14,0.22374596653124448,5.178342036957238,1.1586331440883706,1.1440711702462865,0.04742534131860724,0.9874317648201393
6,8,0.16440632109930056,7.109265259505333,1.168808147034336,1.1370694359122369,0.14470508641136723,0.9728452345214814
11,6,0.16029253739727428,7.191356572187045,1.152720792284426,1.1349906855335146,0.048335143750473784,0.9846189060962677
2,12,0.23916807821383831,4.808201989539473,1.1499684295021098,1.1349404466136712,0.11272155703438165,0.9869318300373298
19,35,0.2043871553594474,5.600404864588357,1.1446508191344253,1.1341448281685753,0.01190075267952178,0.990821662999556
20,31,0.15674289672573238,7.347151955581196,1.151613880201926,1.1313345360418328,0.07010188255241641,0.9823905004023246
31,21,0.10842844308872712,10.57294953157933,1.1464084565648334,1.1157181191338845,0.04034104816258245,0.9732291424969847
19,23,0.21388084206669347,5.239849602358229,1.120703445255207,1.1106322923086431,0.08899419879440076,0.9910135433336957
47,27,0.11555487459823767,9.87603966158021,1.1412245246211228,1.1105625509715824,0.07589390522315329,0.9731323915776171
20,18,0.15924667409192622,7.114709334707563,1.1329937986829606,1.1085321219642077,0.11544716459990877,0.978409699375947
49,55,0.1796710705140376,6.2408132217663015,1.1212935924329113,1.1019422750586572,0.0791121998796816,0.9827419709656354
35,16,0.14878606337103223,7.4882810539338935,1.1141518594307083,1.098152823472647,0.10207507244020035,0.9856401658152452
48,56,0.18825796574674494,5.913670278921803,1.1132955368068043,1.0961931958944409,0.1619113215479402,0.9846380944260165
56,29,0.10793948232977581,10.473390985457273,1.1304924012075985,1.0887995109815471,0.08109664817661795,0.9631197076764826
